index,Int_area
WV_C20_L15,10000.0
WV_C21_L15,10000.0
WV_C22_L15,10000.0
WV_C23_L15,10000.0
WV_C24_L15,10000.000000000002
WV_C25_L15,10000.000000000002
WV_C26_L15,10000.000000000002
WV_C27_L15,10000.0
WV_C28_L15,10000.0
WV_C29_L15,10000.000000000002
WV_C30_L15,10000.0
WV_C31_L15,10000.0
WV_C32_L15,10000.0
WV_C33_L15,10000.0
WV_C34_L15,10000.0
WV_C35_L15,10000.0
WV_C36_L15,10000.000000000002
WV_C37_L15,10000.000000000004
WV_C38_L15,10000.000000000004
WV_C39_L15,10000.000000000002
WV_C40_L15,10000.000000000002
WV_C41_L15,10000.0
WV_C42_L15,9990.274538928486
WV_C43_L15,1543.674768777525
WV_C05_L14,3912.1671759170154
WV_C06_L14,10000.0
WV_C07_L14,10000.000000000004
WV_C08_L14,10000.000000000002
WV_C09_L14,10000.0
WV_C10_L14,10000.0
WV_C11_L14,10000.0
WV_C12_L14,9999.999999999998
WV_C13_L14,10000.0
WV_C14_L14,10000.000000000004
WV_C15_L14,9999.999999999998
WV_C16_L14,10000.0
WV_C17_L14,10000.0
WV_C18_L14,10000.0
WV_C19_L14,9999.999999999998
WV_C20_L14,10000.0
WV_C21_L14,10000.0
WV_C22_L14,10000.0
WV_C23_L14,10000.000000000002
WV_C24_L14,10000.0
WV_C25_L14,9999.999999999998
WV_C26_L14,9999.999999999996
WV_C27_L14,9999.999999999998
WV_C28_L14,10000.0
WV_C29_L14,10000.0
WV_C30_L14,10000.000000000004
WV_C31_L14,9999.999999999998
WV_C32_L14,10000.0
WV_C33_L14,10000.0
WV_C34_L14,10000.0
WV_C35_L14,10000.000000000002
WV_C36_L14,9999.999999999998
WV_C37_L14,10000.0
WV_C38_L14,10000.0
WV_C39_L14,9999.999999999996
WV_C40_L14,9999.999999999998
WV_C41_L14,9999.999999999998
WV_C42_L14,9999.999999999998
WV_C43_L14,3393.260369505412
WV_C05_L13,0.0019512285267261039
WV_C06_L13,6098.874535285942
WV_C07_L13,9999.999999999998
WV_C08_L13,9999.999999999998
WV_C09_L13,10000.000000000002
WV_C10_L13,9999.999999999998
WV_C11_L13,10000.0
WV_C12_L13,10000.0
WV_C13_L13,10000.0
WV_C14_L13,9999.999999999998
WV_C15_L13,10000.000000000002
WV_C16_L13,10000.0
WV_C17_L13,10000.000000000002
WV_C18_L13,10000.0
WV_C19_L13,10000.0
WV_C20_L13,9999.999999999998
WV_C21_L13,10000.000000000002
WV_C22_L13,10000.0
WV_C23_L13,10000.0
WV_C24_L13,10000.0
WV_C25_L13,10000.0
WV_C26_L13,10000.0
WV_C27_L13,10000.000000000002
WV_C28_L13,10000.000000000002
WV_C29_L13,10000.000000000004
WV_C30_L13,9999.999999999996
WV_C31_L13,9999.999999999996
WV_C32_L13,10000.0
WV_C33_L13,9999.999999999998
WV_C34_L13,10000.0
WV_C35_L13,10000.0
WV_C36_L13,10000.0
WV_C37_L13,10000.0
WV_C38_L13,10000.0
WV_C39_L13,10000.0
WV_C40_L13,10000.0
WV_C41_L13,10000.0
WV_C42_L13,9999.999999999998
